rank,influencer,category,followers,likes,comments,sentiment_score,sentiment_score
213,alinamarav,travel,1128,868,845,0.4614232951647494,0.4614232951647494
214,decofixel,other,1273,619,690,0.4467342377355522,0.4467342377355522
215,ari_c,fashion,2033,1102,3925,0.6790568717372973,0.6790568717372973
216,erikaarff,fashion,4680,1150,299,0.6713808870244029,0.6713808870244029
217,carletonjames,fitness,3182,741,371,0.5076653355353375,0.5076653355353375
218,etrems,other,1222,1364,912,0.5518915790052757,0.5518915790052757
219,ephysio,travel,1575,785,1114,0.6144717451646681,0.6144717451646681
220,andrefbernardino,travel,1062,939,743,0.374678879489786,0.374678879489786
221,cattron,family,2422,1980,395,0.6027022760145613,0.6027022760145613
222,arylifestyle,fashion,2381,1211,326,0.687699989279362,0.687699989279362
223,desertsongbird,fashion,3338,1032,617,0.6178775175665704,0.6178775175665704
224,charlottegrillco,other,1170,613,356,0.6520489569993886,0.6520489569993886
225,bright.ong,other,1371,1210,1508,0.42970175186814136,0.42970175186814136
226,emilia_gi,travel,1135,502,983,0.6230096047906251,0.6230096047906251
227,emilyeyoung,fashion,1411,449,336,0.67926896475832,0.67926896475832
228,beyornce,travel,1656,526,845,0.31946100224099044,0.31946100224099044
229,ariellex3,fashion,2401,649,803,0.4263528943445893,0.4263528943445893
230,blanchecarpio,family,2248,542,583,0.6373588343452512,0.6373588343452512
231,christianarsberg,fashion,2563,544,473,0.5476420309697544,0.5476420309697544
232,camillakjerstad,fashion,4471,987,422,0.6730005090210538,0.6730005090210538
233,dutchadventurer,travel,1546,957,489,0.7853809015170047,0.7853809015170047
234,bastihansen,fashion,14848,795,1164,0.6842354972048503,0.6842354972048503
235,blairewilson,fashion,5994,901,720,0.5780038142758092,0.5780038142758092
236,blasianbbydoll,family,2107,666,458,0.6014364247046916,0.6014364247046916
237,ashtongibbs,travel,3107,1863,608,0.6760078303668065,0.6760078303668065
238,alliegee319,fashion,1332,482,2096,0.6905932757577687,0.6905932757577687
239,anunstoppablejourney,travel,2404,896,2523,0.5318552226536671,0.5318552226536671
240,diandrazaki,food,1460,915,2161,0.5679327324753904,0.5679327324753904
241,andrewxschneider,travel,1018,773,537,0.4828264940402785,0.4828264940402785
242,beatrice_copeland,other,1620,1023,755,0.5592883932157432,0.5592883932157432
243,biancalangham,family,1491,1755,766,0.5764762717936384,0.5764762717936384
244,coach_nguyen,other,1647,836,779,0.5715682226476138,0.5715682226476138
245,boudoirss,travel,1030,452,241,0.5731302533289659,0.5731302533289659
246,fia_the5footer_,food,1270,447,1447,0.6111580635378699,0.6111580635378699
247,beckienye,fashion,1117,743,434,0.7896056827025025,0.7896056827025025
248,bluejeanbrdy,fashion,2246,981,537,0.7043932863883072,0.7043932863883072
249,anna_christine21,fashion,1068,3579,418,0.44357062034267825,0.44357062034267825
250,_igarby,other,1363,1004,389,0.4922194168006251,0.4922194168006251
251,anashtayim,other,1385,1257,591,0.4099848682611318,0.4099848682611318
252,admwild,travel,3126,1432,272,0.736863734489806,0.736863734489806
253,danilabory,fashion,1430,840,841,0.6941407343708855,0.6941407343708855
254,bakingzen,food,1692,1583,1006,0.7195538286662184,0.7195538286662184
255,avi.deh,travel,1075,699,1139,0.5744096383603691,0.5744096383603691
256,christyrosebud,travel,1133,299,851,0.5209691971870819,0.5209691971870819
257,_linhda,fashion,4893,1116,373,0.578196213027278,0.578196213027278
258,crystalxdanielle,family,6311,647,455,0.6019115393627482,0.6019115393627482
259,eeekarlsson,travel,1365,429,626,0.6977886481705281,0.6977886481705281
260,emily_england1,other,1270,703,795,0.48049364655615107,0.48049364655615107
261,eligiamartins,fashion,3371,988,335,0.625366331705482,0.625366331705482
262,fit_nuuris,fitness,2106,583,702,0.5677823836409559,0.5677823836409559
263,_casskarl,fashion,1103,822,563,0.6558575063791782,0.6558575063791782
264,ellietindall,family,6825,1016,580,0.5086801694372347,0.5086801694372347
265,baileetig,travel,1763,1999,449,0.6236615309761083,0.6236615309761083
266,amyraephoto,family,1458,1310,1846,0.6998039468667527,0.6998039468667527
267,christernordnes,fashion,1607,522,332,0.7256347502792595,0.7256347502792595
268,eellalarsson,fashion,3670,484,419,0.599545245249743,0.599545245249743
269,callumm556,other,1067,555,644,0.30903147410288806,0.30903147410288806
270,alexslens,travel,2817,265,291,0.5593560238176587,0.5593560238176587
271,anthonymomanart,travel,1011,1002,678,0.5803219793655972,0.5803219793655972
272,ahmetdagphotography,travel,1251,1163,296,0.750234486832135,0.750234486832135
273,eqaustin,family,1412,1092,537,0.7477050248571449,0.7477050248571449
274,elvisckd,fashion,1954,485,590,0.5143053601843273,0.5143053601843273
275,autumnwilson,fashion,2098,1023,993,0.7059738002934849,0.7059738002934849
276,carmenicole,food,1090,911,337,0.5608398843951891,0.5608398843951891
277,apriltoaugust,travel,1086,345,1118,0.5966570107507305,0.5966570107507305
278,crambert,beauty,2007,1697,811,0.5645158139254831,0.5645158139254831
279,eve_gay01,fashion,5142,670,648,0.5115051191658229,0.5115051191658229
280,anitasdiaries,travel,1420,626,372,0.590488798175855,0.590488798175855
281,emmimmi,fashion,7121,758,475,0.5752524040820065,0.5752524040820065
282,alexiaarosse,fashion,10230,195,380,0.6037370506798906,0.6037370506798906
283,erinlizkelly,travel,1307,1003,853,0.5669160601389662,0.5669160601389662
284,atbitalia,travel,1212,517,529,0.6450763558286557,0.6450763558286557
285,caitlindunkley,family,1301,1744,641,0.6504118233776406,0.6504118233776406
286,antonizzleellizle,family,1133,834,451,0.42899761294858973,0.42899761294858973
287,aaron_wylie10,family,1593,1194,338,0.536339084566377,0.536339084566377
288,bailyroberts,fashion,1766,3620,498,0.695981616298777,0.695981616298777
289,chanskers,food,1732,995,1219,0.6240425607952641,0.6240425607952641
290,ayehpineda,food,1184,993,1364,0.697387007762798,0.697387007762798
291,bayleyjunes,travel,16521,252,601,0.6835762051982698,0.6835762051982698
292,brittanygrahamhaslam,family,5232,850,552,0.7501043777073018,0.7501043777073018
293,1nonlycash,fashion,1494,910,453,0.5417294775212649,0.5417294775212649
294,biancarose_art,other,3736,722,450,0.7024889438802283,0.7024889438802283
295,danielscottkain,fashion,3449,3895,310,0.4970523820956273,0.4970523820956273
296,beauti_ful_night_mare,fashion,4267,583,312,0.6152308025313844,0.6152308025313844
297,clarisse.renee,travel,1396,943,1731,0.6679769894296196,0.6679769894296196
298,amydrauch,fashion,3094,668,622,0.5991226430358912,0.5991226430358912
299,danrascal,other,1084,1851,340,0.5164382263045864,0.5164382263045864
300,clairebdawe,family,3368,1069,805,0.5980071540336621,0.5980071540336621
301,852sophie,fashion,1029,320,854,0.6964452693252936,0.6964452693252936
302,brandonshowersofficial,fitness,2318,870,1189,0.6857160709535384,0.6857160709535384
303,dear_desmond21,family,1400,799,304,0.6031969501353256,0.6031969501353256
304,aronomars,travel,1818,665,1067,0.502434417293915,0.502434417293915
305,dianemichiko,food,1475,445,763,0.6005619704315749,0.6005619704315749
306,alexzandrathomas,travel,1350,990,717,0.5608233018353883,0.5608233018353883
307,drea.flow,fashion,2007,1056,695,0.7028450304073712,0.7028450304073712
308,carloslazarini,travel,70343,280,854,0.6926078164945266,0.6926078164945266
309,davec03,travel,1054,822,516,0.5935892375793979,0.5935892375793979
310,alyssa13ramos,family,6511,350,808,0.5329042199756767,0.5329042199756767
311,dkarjadi,travel,1638,626,895,0.5901955576279304,0.5901955576279304
312,_everydayariana,fashion,1448,885,288,0.698149516637501,0.698149516637501
313,farawaylucy,travel,3751,1600,837,0.6521261115403632,0.6521261115403632
314,crystalmrr,fashion,12719,561,673,0.27409522121496555,0.27409522121496555
315,allymillerr,fashion,6167,1080,432,0.5336636977126823,0.5336636977126823
316,eastsidefoodie,food,2088,1125,274,0.49379523994469154,0.49379523994469154
317,claradiation,travel,1467,696,288,0.5334304105263499,0.5334304105263499
318,beardabouttown,family,1217,1002,2317,0.6135486682562165,0.6135486682562165
319,ebbawh,travel,1180,861,745,0.6720321053753386,0.6720321053753386
320,annszi,travel,1908,397,1336,0.6451874204118118,0.6451874204118118
321,dapperdonats,fashion,5211,313,864,0.7212650717891853,0.7212650717891853
322,dedinskamat,family,2422,698,552,0.6262490675414574,0.6262490675414574
323,domlanae,beauty,1529,987,379,0.6684265815671517,0.6684265815671517
324,anj_x,travel,3188,220,320,0.4710121026813072,0.4710121026813072
325,ellelouisa14,family,1073,1462,834,0.5053553101439603,0.5053553101439603
326,angelinapiro,fashion,8618,809,496,0.5673187751267139,0.5673187751267139
327,dannisimone,fashion,3491,987,440,0.6238039335553918,0.6238039335553918
328,donnaubags,travel,2852,311,881,0.6292369296615036,0.6292369296615036
329,damselindetroitblog,fashion,1338,2864,313,0.6751695184837281,0.6751695184837281
330,alejandrareyes,fashion,4647,1007,296,0.6288274373534436,0.6288274373534436
331,crouchendmums,other,1131,349,265,0.5057855967031588,0.5057855967031588
332,alanadoust,travel,5581,1126,761,0.6264341518633896,0.6264341518633896
333,dr_maille,travel,6598,295,594,0.6691744437328061,0.6691744437328061
334,acummins13,family,2940,1511,399,0.6645955616526021,0.6645955616526021
335,ayoedebiri,other,2347,980,1324,0.502424988609797,0.502424988609797
336,dipasqualeserena,fashion,2608,893,495,0.6874473252941713,0.6874473252941713
337,doorathea,other,2155,902,923,0.5773150081615694,0.5773150081615694
338,fishontheradio,family,1544,914,357,0.5244710507994811,0.5244710507994811
339,blayke.ryan,fashion,3036,1748,814,0.5755203309543859,0.5755203309543859
340,blackcatyoga,fitness,1035,1786,782,0.525948169725473,0.525948169725473
341,cheekymommaof2,travel,1058,991,1021,0.6385874823242316,0.6385874823242316
342,chewwwie,food,2181,345,487,0.6681562758010567,0.6681562758010567
343,davideercoli,travel,5036,643,348,0.5983616640915279,0.5983616640915279
344,by_fishingforcompliments,fashion,2279,2032,409,0.7612034301911013,0.7612034301911013
345,ariengabrielle,fashion,3489,914,1134,0.6606028179371329,0.6606028179371329
346,edithsahlberg,fashion,6843,271,709,0.6541577364550903,0.6541577364550903
347,alexiscastro_xo,beauty,1801,1998,778,0.7337603094820382,0.7337603094820382
348,anna_graziella,travel,1227,301,445,0.6559118599503696,0.6559118599503696
349,bruninha_sa,family,2169,440,908,0.5316216689562914,0.5316216689562914
350,djsnowtiger,pet,1169,1225,1238,0.48708717893372155,0.48708717893372155
351,fabinakaya,travel,1362,3583,762,0.6629152140272954,0.6629152140272954
352,aisha.uk,beauty,1204,666,779,0.6379353333546555,0.6379353333546555
353,ceciotta_,other,1056,1027,789,0.4801814964008109,0.4801814964008109
354,annabirgersson,fashion,5230,987,1364,0.5702488748395497,0.5702488748395497
355,aidasflaws,fashion,1531,287,357,0.701345385287903,0.701345385287903
356,ashthe_designer,fashion,1128,776,433,0.6711723137673192,0.6711723137673192
357,afizyassin,fashion,1040,706,521,0.5154942557680903,0.5154942557680903
358,copywritemag,other,1343,825,349,0.6157280635843606,0.6157280635843606
359,davidlautman,other,1471,256,516,0.581981896017955,0.581981896017955
360,erica_hjerpe,fashion,5642,713,1072,0.5648127738937417,0.5648127738937417
361,ashleehuff,fashion,3496,910,319,0.6191836833068666,0.6191836833068666
362,bennicullen,other,1300,498,319,0.6412497769145662,0.6412497769145662
363,ashiepowers,fashion,6179,953,720,0.5889313458764088,0.5889313458764088
364,breianna_,travel,3785,342,398,0.5475713044281532,0.5475713044281532
365,biancaxxfranco,fashion,9504,937,461,0.570870559337216,0.570870559337216
366,alexandrawlf,food,1699,410,430,0.6050284655935787,0.6050284655935787
367,ester_depret,family,1577,604,934,0.6562747384929396,0.6562747384929396
368,castyworld,travel,5645,800,389,0.7522682238893421,0.7522682238893421
369,charliepr1ce,travel,6771,1193,228,0.6878529428153203,0.6878529428153203
